grp2betas,grp2cols
6025.3784086965425,occupation_code_1.0
4411.580947813583,occupation_code_11.0
-4022.5310915497516,occupation_code_9.0
3878.713114954981,occupation_code_8.0
-3079.5507978354317,occupation_code_24.0
-2629.525226272623,occupation_code_18.0
-2588.0026716151206,occupation_code_23.0
-2508.2949637983775,occupation_code_14.0
2263.5624336064407,occupation_code_4.0
-2232.866384351082,occupation_code_7.0
2170.7133869133454,occupation_code_3.0
-2160.942489764354,occupation_code_15.0
-1916.20236766738,occupation_code_20.0
-1891.642854351145,occupation_code_16.0
-1403.45207422719,occupation_code_12.0
1120.4091153429695,occupation_code_2.0
